anio,ine_hombres,ine_mujeres,ine_total
2026,4567560,5871334,10438894
2027,4688581,6006734,10695315
2028,4813825,6146970,10960795
2029,4946594,6294175,11240769
2030,5091199,6455253,11546452
2031,5227488,6607977,11835465
2032,5363411,6758837,12122248
2033,5503159,6914593,12417752
2034,5637173,7063418,12700591
2035,5771153,7211490,12982643
2036,5905622,7358674,13264296
2037,6041883,7506949,13548832
2038,6179880,7656736,13836616
2039,6316634,7804183,14120817
2040,6458025,7957276,14415301
2041,6598901,8107774,14706675
2042,6738068,8258583,14996651
2043,6868043,8398111,15266154
2044,6988802,8530328,15519130
2045,7090545,8644970,15735515
2046,7180590,8746883,15927473
2047,7254321,8831131,16085452
2048,7312861,8900366,16213227
2049,7354596,8951968,16306564
2050,7386635,8992563,16379198
