anio_dic,sexo,tramo,perceptores
2017,hombres,65-69,14813
2017,hombres,70-74,12735
2017,hombres,75-79,7563
2017,hombres,80-84,6918
2017,hombres,85+,4285
2017,hombres,no_consta,2
2017,mujeres,65-69,34592
2017,mujeres,70-74,38643
2017,mujeres,75-79,29340
2017,mujeres,80-84,31173
2017,mujeres,85+,19971
2017,mujeres,no_consta,0
2018,hombres,65-69,15086
2018,hombres,70-74,13898
2018,hombres,75-79,8097
2018,hombres,80-84,6643
2018,hombres,85+,4327
2018,hombres,no_consta,3
2018,mujeres,65-69,33387
2018,mujeres,70-74,39628
2018,mujeres,75-79,29893
2018,mujeres,80-84,29191
2018,mujeres,85+,20378
2018,mujeres,no_consta,1
2019,hombres,65-69,15978
2019,hombres,70-74,15154
2019,hombres,75-79,8871
2019,hombres,80-84,6442
2019,hombres,85+,4481
2019,hombres,no_consta,1
2019,mujeres,65-69,33435
2019,mujeres,70-74,40324
2019,mujeres,75-79,31597
2019,mujeres,80-84,27529
2019,mujeres,85+,20915
2019,mujeres,no_consta,2
2020,hombres,65-69,16016
2020,hombres,70-74,15872
2020,hombres,75-79,9437
2020,hombres,80-84,6437
2020,hombres,85+,4508
2020,hombres,no_consta,2
2020,mujeres,65-69,33076
2020,mujeres,70-74,40138
2020,mujeres,75-79,31384
2020,mujeres,80-84,26972
2020,mujeres,85+,20574
2020,mujeres,no_consta,4
2021,hombres,65-69,16323
2021,hombres,70-74,16877
2021,hombres,75-79,10191
2021,hombres,80-84,6374
2021,hombres,85+,4552
2021,hombres,no_consta,2
2021,mujeres,65-69,32487
2021,mujeres,70-74,40661
2021,mujeres,75-79,32122
2021,mujeres,80-84,25619
2021,mujeres,85+,20649
2021,mujeres,no_consta,3
2022,hombres,65-69,15455
2022,hombres,70-74,17748
2022,hombres,75-79,10893
2022,hombres,80-84,6444
2022,hombres,85+,4401
2022,hombres,no_consta,1
2022,mujeres,65-69,31035
2022,mujeres,70-74,41033
2022,mujeres,75-79,32929
2022,mujeres,80-84,24632
2022,mujeres,85+,20247
2022,mujeres,no_consta,2
2023,hombres,65-69,15935
2023,hombres,70-74,19113
2023,hombres,75-79,11943
2023,hombres,80-84,6915
2023,hombres,85+,4437
2023,hombres,no_consta,1
2023,mujeres,65-69,32026
2023,mujeres,70-74,41983
2023,mujeres,75-79,34608
2023,mujeres,80-84,25376
2023,mujeres,85+,20479
2023,mujeres,no_consta,2
2024,hombres,65-69,18902
2024,hombres,70-74,21348
2024,hombres,75-79,13239
2024,hombres,80-84,6771
2024,hombres,85+,5417
2024,hombres,no_consta,1
2024,mujeres,65-69,38600
2024,mujeres,70-74,45287
2024,mujeres,75-79,36944
2024,mujeres,80-84,24379
2024,mujeres,85+,23861
2024,mujeres,no_consta,7
2025,hombres,65-69,18799
2025,hombres,70-74,22818
2025,hombres,75-79,14154
2025,hombres,80-84,7274
2025,hombres,85+,5771
2025,hombres,no_consta,3
2025,mujeres,65-69,39355
2025,mujeres,70-74,47314
2025,mujeres,75-79,38004
2025,mujeres,80-84,25257
2025,mujeres,85+,24695
2025,mujeres,no_consta,5
