edad,hombres,mujeres
60,351146,368475
61,332152,349489
62,317758,338073
63,307434,329312
64,305689,329289
65,294817,319192
66,284915,311522
67,274776,303401
68,253250,282233
69,242253,272728
70,226870,259397
71,224514,256889
72,220153,253006
73,201867,236613
74,192302,228980
75,193833,235979
76,197221,243494
77,174994,219683
78,161132,207381
79,161822,212405
80,147583,197649
81,138396,189686
82,113557,158447
83,98625,141637
84,111124,167449
85,66366,106388
86,68964,113808
87,69677,119348
88,66335,121405
89,57230,106717
90,47789,94632
91,39978,84153
92,32431,71778
93,24363,56354
94,18293,46837
95,12848,34825
96,9200,26679
97,5878,18572
98,3942,13337
99,2597,9088
100,3070,13968
