anio,tramo,hombres,mujeres
2016,65-69,1113191,1227657
2016,70-74,911420,1057380
2016,75-79,687168,890140
2016,80-84,575703,851501
2016,85+,445389,904654
2017,65-69,1124259,1237915
2017,70-74,946033,1101327
2017,75-79,669510,856892
2017,80-84,581914,861537
2017,85+,467558,937354
2018,65-69,1142477,1255141
2018,70-74,978115,1139781
2018,75-79,674006,855577
2018,80-84,571660,844114
2018,85+,488232,969351
2019,65-69,1143117,1254375
2019,70-74,1005912,1171135
2019,75-79,716357,903715
2019,80-84,547812,807171
2019,85+,507378,999951
2020,65-69,1154405,1267713
2020,70-74,1022060,1190316
2020,75-79,775453,973384
2020,80-84,514723,758428
2020,85+,525275,1029681
2021,65-69,1182036,1299647
2021,70-74,1018228,1184839
2021,75-79,784558,985100
2021,80-84,526581,768610
2021,85+,527354,1034531
2022,65-69,1213742,1335908
2022,70-74,1031421,1197998
2022,75-79,816314,1027523
2022,80-84,516025,742285
2022,85+,540401,1060185
2023,65-69,1250138,1381513
2023,70-74,1051457,1219802
2023,75-79,846418,1066594
2023,80-84,523919,744858
2023,85+,541608,1061469
2024,65-69,1296776,1432918
2024,70-74,1054644,1221373
2024,75-79,873232,1098991
2024,80-84,561655,791516
2024,85+,540162,1057101
2025,65-69,1350011,1489076
2025,70-74,1065706,1234885
2025,75-79,889002,1118942
2025,80-84,609285,854868
2025,85+,528961,1037889
