anio,sexo,tramo,tau
2017,hombres,65-69,0.09464005629105957
2017,hombres,70-74,0.09503606874402502
2017,hombres,75-79,0.0819048785352709
2017,hombres,80-84,0.08833283833915875
2017,hombres,85+,0.06406251999617747
2017,mujeres,65-69,0.14897432542143377
2017,mujeres,70-74,0.18326422451425414
2017,mujeres,75-79,0.18536565919209447
2017,mujeres,80-84,0.19962078901985122
2017,mujeres,85+,0.1113645638693841
2018,hombres,65-69,0.09633028668208755
2018,hombres,70-74,0.10084903597377558
2018,hombres,75-79,0.08250382111296727
2018,hombres,80-84,0.08851403601032928
2018,hombres,85+,0.06224933206768802
2018,mujeres,65-69,0.14387266189956774
2018,mujeres,70-74,0.1829041104615654
2018,mujeres,75-79,0.17879949296380362
2018,mujeres,80-84,0.19548421485557482
2018,mujeres,85+,0.11015674903205393
2019,hombres,65-69,0.10102844082126927
2019,hombres,70-74,0.10822568018133122
2019,hombres,75-79,0.08350193347310314
2019,hombres,80-84,0.09135379186517598
2019,hombres,85+,0.06226839121808632
2019,mujeres,65-69,0.14256360053871006
2019,mujeres,70-74,0.1831173970337016
2019,mujeres,75-79,0.17546476477381442
2019,mujeres,80-84,0.19620241526605744
2019,mujeres,85+,0.10979522206785797
2020,hombres,65-69,0.09890147972570303
2020,hombres,70-74,0.11378003217210697
2020,hombres,75-79,0.08779874996983283
2020,hombres,80-84,0.08922730113667984
2020,hombres,85+,0.06239662444781132
2020,mujeres,65-69,0.13756750039756116
2020,mujeres,70-74,0.18311531116224414
2020,mujeres,75-79,0.1722091597231177
2020,mujeres,80-84,0.1896860496150123
2020,mujeres,85+,0.10749877075777411
2021,hombres,65-69,0.0981641777259581
2021,hombres,70-74,0.11943695253625608
2021,hombres,75-79,0.09112530388290364
2021,hombres,80-84,0.09016142133667066
2021,hombres,85+,0.06148448535858145
2021,mujeres,65-69,0.13145022367214315
2021,mujeres,70-74,0.18346373632442556
2021,mujeres,75-79,0.16898155314521662
2021,mujeres,80-84,0.18656052739996237
2021,mujeres,85+,0.10527994285546033
2022,hombres,65-69,0.09023821288377937
2022,hombres,70-74,0.12320755414199007
2022,hombres,75-79,0.09393815928431282
2022,hombres,80-84,0.08977818393752653
2022,hombres,85+,0.05931243185337158
2022,mujeres,65-69,0.12142973446993026
2022,mujeres,70-74,0.18183278925596122
2022,mujeres,75-79,0.16688130122107814
2022,mujeres,80-84,0.17875346166107625
2022,mujeres,85+,0.10310545408602913
2023,hombres,65-69,0.08969464935589391
2023,hombres,70-74,0.13228250376914816
2023,hombres,75-79,0.09983049462428291
2023,hombres,80-84,0.08986736084383568
2023,hombres,85+,0.059957681795218126
2023,mujeres,65-69,0.12081187724176366
2023,mujeres,70-74,0.18580330098596837
2023,mujeres,75-79,0.17022002024608962
2023,mujeres,80-84,0.1732972770829239
2023,mujeres,85+,0.10471780586462154
2024,hombres,65-69,0.10219976201653766
2024,hombres,70-74,0.1462174535174318
2024,hombres,75-79,0.10870058390909172
2024,hombres,80-84,0.08111697754619525
2024,hombres,85+,0.0747505883900731
2024,mujeres,65-69,0.1401195430244317
2024,mujeres,70-74,0.1982327055512008
2024,mujeres,75-79,0.1784697484742706
2024,mujeres,80-84,0.15415055701977193
2024,mujeres,85+,0.12426991554817363
