"anio","gasto_lee_carter","gasto_cbd","desv_pct","pib_lee_carter","pib_cbd"
2025,1.832,1.832,0,0.1086,0.1086
2026,1.915,1.914,-0.02,0.1098,0.1097
2027,2.002,2.001,-0.04,0.111,0.1109
2028,2.095,2.093,-0.07,0.1123,0.1122
2029,2.192,2.19,-0.09,0.1136,0.1135
2030,2.298,2.296,-0.1,0.1152,0.1151
2031,2.407,2.404,-0.12,0.1167,0.1166
2032,2.518,2.515,-0.13,0.1181,0.118
2033,2.634,2.631,-0.14,0.1195,0.1193
2034,2.752,2.749,-0.13,0.1207,0.1206
2035,2.877,2.874,-0.12,0.1221,0.1219
2036,3.005,3.001,-0.13,0.1233,0.1232
2037,3.138,3.134,-0.12,0.1245,0.1244
2038,3.275,3.271,-0.11,0.1257,0.1256
2039,3.413,3.411,-0.07,0.1267,0.1266
2040,3.558,3.557,-0.05,0.1277,0.1277
2041,3.708,3.707,-0.02,0.1287,0.1287
2042,3.863,3.864,0.02,0.1297,0.1297
2043,4.016,4.02,0.08,0.1304,0.1305
2044,4.171,4.176,0.12,0.131,0.1311
2045,4.323,4.331,0.17,0.1313,0.1315
2046,4.474,4.485,0.24,0.1314,0.1317
2047,4.622,4.637,0.33,0.1313,0.1317
2048,4.764,4.783,0.4,0.1309,0.1314
2049,4.902,4.925,0.47,0.1302,0.1308
2050,5.031,5.058,0.54,0.1293,0.13
